Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m),TTC (s)
0.0,8.808552074432374,7.056000137329103,7.056000137329103,6.0227901311083425,0.0,0.0,107.0,133.0,113.0,133.41999816894528,2.446820020675659,1.9600000381469729,,,,,1.717825363652256,12.371444543790915
0.05,8.17253980643372,8.820000171661377,7.938000154495238,6.023584223508816,0.1276519000530243,0.1126999855041504,107.0,133.0,113.0,133.41999816894528,2.270149946231589,2.450000047683716,-3.5334014888814025,9.800000190734858,,,0.5804982778633696,inf
0.1,4.179743814481178,10.584000205993652,8.820000171661377,6.0206558337208245,0.20562440156936648,0.2498999983072281,107.0,133.0,113.0,133.41999816894528,1.1610399484669938,2.940000057220459,-22.182199955291903,9.800000190734863,,,0.0,inf
0.15000000000000002,1.8211319446581105,10.747439861297623,9.301860094070436,6.016545141246947,0.24259930104017255,0.40529029071331024,107.0,133.0,113.0,133.41999816894528,0.5058699846272529,2.985399961471562,-13.103399276794814,0.9079980850220611,,,0.0,inf
0.2,0.4830876231199983,7.768655776977547,8.995219230651859,6.014804928341851,0.2558628022670746,0.5298077911138535,107.0,133.0,113.0,133.41999816894528,0.13419100642222176,2.1579599380493186,-7.433579564100624,-16.548800468444874,,,0.0,inf
0.25,0.2291173249485619,4.8948121547699035,8.3118180513382,6.01484989665775,0.2561044991016388,0.6134719923138618,107.0,133.0,113.0,133.41999816894528,0.06364370137460053,1.3596700429916397,-1.410946100952425,-15.96579790115358,,,0.0,inf
0.30000000000000004,0.566773188114468,0.2858890101483613,7.165256759739652,6.015212559569793,0.2624138966202736,0.6421069949865341,107.0,133.0,113.0,133.41999816894528,0.1574369966984633,0.07941361393010037,1.875865906477254,-25.605128581230765,,,0.01060690393229989,77.08511852453665
0.35000000000000003,0.6878160238266836,1.2601369874799058,6.427116788207183,6.0151690997498415,0.2714710980653763,0.6545059978961945,107.0,133.0,113.0,133.41999816894528,0.1910600066185232,0.35003805207775157,0.6724601984011981,5.412488762953025,,,0.0,inf
0.4,0.6899112045765418,1.8184629647126125,5.915044141152232,6.015019349113668,0.2811346985399723,0.6770130023360252,107.0,133.0,113.0,133.41999816894528,0.1916420012712616,0.505128601309059,0.011639893054767871,3.1018109846261495,,,0.0,inf
0.45,0.6321779966355942,2.026972872019429,5.526237014238951,6.014854252528336,0.2902787961065769,0.7043372020125389,107.0,133.0,113.0,133.41999816894528,0.17560499906544283,0.5630480200053969,-0.3207400441163755,1.1583883739267578,-0.18667316874561812,,0.0,inf
